taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_count,sd_dm_count,lower_ci_mean_dm_count,upper_ci_mean_dm_count,geom_mean,min_dm_count,median_dm_count,max_dm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Hydrobiidae,161,0.6411761867754672,1.9562394089547925e-37,0.8793308233574582,0.05191418601080886,0.7768005025972046,0.9818611441177117,-6.04232382886846,0.18325643397115887,-6.404254591926771,-5.680393065810149,0.002376031003707428,0.0016545030420919685,0.0034122169539444764,1.4835661402283602,0.0024254905236959705,0.001984017215346955,0.002276946185406587,0.002574034861985354,0,2e-4,0.0019153846153846152,0.01045,1,1038,16.516361284174348,134.70494971617083,168.6612947170305,46.152802288662684,142.1871680590263,175.031213075996
Hydrobiidae_outliers_removed,146,0.5702652951628864,2.0638939170576626e-28,0.8348500590513522,0.0600289331412908,0.7161983665758744,0.95350175152683,-5.878049789149325,0.20386152473633656,-6.280997395825343,-5.475102182473307,0.0028002410137968293,0.0018715330038088147,0.0041898004039425014,1.4553937024558286,0.002476589056521578,0.0019959004111098706,0.0023196662578582284,0.002633511855184928,0,2.625e-4,0.0020471925133689842,0.01045,2,220,6.701773232686849,124.79505044547011,158.5366153847022,32.49726361867107,135.29732803427643,167.7146154978755
Mysidacea,52,0.5416096796333058,3.0843976729086007e-10,0.6450639243242067,0.08241726131754118,0.4795239831104698,0.8106038655379435,-6.382799324074087,0.10686342698436112,-6.59744083409384,-6.168157814054334,0.0016903843936033726,0.001363853903601688,0.0020950919967248505,1.1315241231517306,0.001416329431438127,7.796874902140674e-4,0.0013136123905318033,0.0015190464723444507,0.001203209363039612,3.2e-4,0.0013,0.0034,1,25,-3.6780363666599842,29.204613872182048,53.11092234358732,31.564835977462298,41.78609540165647,67.87128713373308
Mysidacea_outliers_removed,45,0.3005411381061214,5.7728592190726496e-5,0.46516004026946023,0.10425883839882781,0.2549020541699899,0.6754180263689306,-6.261543090549808,0.11085692472256549,-6.485107385868192,-6.0379787952314246,0.001908298845596396,0.0015259968873472382,0.002386377399782924,1.1184811191797714,0.0014572592592592593,7.753600626235272e-4,0.0013474545981451615,0.001567063920373357,0.0012404047236005465,3.2e-4,0.0014,0.0034,1,10,-1.2997026841961283,24.968644667327393,47.862946976907594,25.91188509339883,42.968619707173,68.81429641499226
Nephtys,45,0.3542571210270693,9.67390898427352e-6,0.5910438915715175,0.11788251691433731,0.35331113928503144,0.8287766438580035,-4.7755504918296,0.17326545669337692,-5.12497358673878,-4.42612739692042,0.00843344026941313,0.00594637441753864,0.011960719218753572,1.3276493944643741,0.008245529234140346,0.01003944779723693,0.0068237663444988,0.009667292123781892,0.005477420398903706,6.285714285714286e-4,0.0058,0.0638,1,27,2.1991742715712914,89.54560746425634,112.15988366723367,63.769386244721524,127.66016203016238,149.98251857902858
Nephtys_outliers_removed,38,0.32426726797036876,1.1360690834109118e-4,0.48997673126747016,0.11313905981098758,0.26052008278823785,0.7194333797467025,-4.652332430630633,0.14743806142712385,-4.95135067852717,-4.3533141827340955,0.009539326145782925,0.0070738479790509465,0.012864107849802343,1.1660924336668248,0.00758594715956558,0.005555651699681114,0.006729763731237264,0.008442130587893898,0.005871422840237552,6.285714285714286e-4,0.00598,0.0278,1,14,-1.6092077336688042,44.683142604711655,70.55763914326344,45.88359922241501,79.26301327742652,104.60139497878514
Phyllodoce,25,0.20031698420451483,0.014373678260841296,0.5071694711480883,0.19152942556212496,0.11096066733980997,0.9033782749563666,-5.4985973020463685,0.36381891565504393,-6.2512140707305806,-4.7459805333621565,0.004092507966765434,0.0019281118505021626,0.008686540385961785,1.6067898898775954,0.003813696372766961,0.007074136053520915,0.002469610522597987,0.005157782222935935,0.0018626227423644195,3.5555555555555557e-4,0.0018000000000000002,0.0354,1,37,0.5881640135867225,138.89754950711423,164.3748778932256,84.54835844378857,225.12960033180482,245.52545681407923
Phyllodoce_outliers_removed,20,0.15676712695192252,0.047323888792734296,0.3594821866815798,0.16885607517247803,0.004728736723123128,0.7142356366400364,-5.47534567962247,0.2927359482859388,-6.09036108534726,-4.860330273897681,0.004188780323686937,0.002264591056516841,0.007747924531281199,1.2146541656651944,0.002339989835328071,0.00249656218081807,0.00180965397442346,0.0028703256962326817,0.0016090604089531709,3.5555555555555557e-4,0.0017125,0.0112,1,17,2.495436024695765,46.64457654196339,73.99362930731034,59.156138321920494,102.64435648685318,124.58467947526121
Salinator,80,0.0198412483732342,0.11095763222736044,0.33590488844561134,0.2083518851556677,-0.0788918513979397,0.7507016282891623,-3.8771606764728093,0.3513441447601686,-4.576633137212741,-3.177688215732877,0.020709542875324054,0.010289481313965268,0.041681903394176587,2.73754021981651,0.02433354172029327,0.02833100820693348,0.021324413859757405,0.027342669580829135,0.008104302148982882,1.0526315789473685e-4,0.010060714285714286,0.0999,1,67,-2.5831336517879553,904.8887753239551,941.3657765305616,66.0412196472272,1451.1139749945273,1487.5180543511444
Salinator_outliers_removed,72,-0.014019385275869212,0.8925327360912894,-0.034051484614742646,0.2511313452552427,-0.5349171595208215,0.46681419029133625,-3.437301200204169,0.3761706262228471,-4.187549857501223,-2.6870525429071153,0.032151338371089744,0.015183440929541648,0.0680813106758346,2.615016345510352,0.02523427251262277,0.028888685484211387,0.021999936490092988,0.02846860853515255,0.008513080563487666,1.0526315789473685e-4,0.010060714285714286,0.0999,1,23,0.3513873325229224,732.2285646349078,765.8182785344633,53.3453887107097,1507.333747920958,1544.5183345526725
Simplisetia,206,0.44911174823157674,1.942941001313818e-28,0.5969907777607365,0.04604153672095575,0.5062124805158372,0.6877690750056358,-6.273244554734265,0.19160628976150956,-6.651027182438042,-5.895461927030488,0.001886099093112195,0.0012926935911147914,0.0027519048701795177,1.5329818547977792,7.736314274265389e-4,0.0012082972636219365,6.936546709353945e-4,8.536081839176833e-4,0,8.620689655172414e-6,4.6411862990810356e-4,0.01001,1,738,4.49888071029095,180.39437776726763,208.85848145911874,134.47938438897867,324.828140662052,347.1182092246235
