taxa_clean,individual_count,afdm_g,keep_data
Chironomidae,42,0.005,TRUE
Chironomidae,51,0.009,FALSE
Chironomidae,12,0.001,TRUE
Chironomidae,3,0.001,FALSE
Chironomidae,21,0.002,TRUE
Chironomidae,11,0.001,TRUE
Chironomidae,35,0.005,TRUE
Chironomidae,19,0.001,TRUE
Chironomidae,56,0.003,TRUE
Chironomidae,40,0.003,TRUE
Chironomidae,17,0.001,TRUE
Chironomidae,15,0.001,TRUE
Chironomidae,153,0.01,FALSE
Chironomidae,183,0.014,FALSE
Chironomidae,7,0.001,TRUE
Chironomidae,15,0.001,TRUE
Chironomidae,24,0.002,TRUE
Chironomidae,101,0.005,TRUE
Chironomidae,48,0.003,TRUE
Chironomidae,68,0.003,TRUE
Chironomidae,48,0.002,TRUE
Chironomidae,29,0.001,TRUE
Chironomidae,152,0.006,FALSE
Chironomidae,80,0.003,TRUE
Chironomidae,74,0.004,TRUE
Chironomidae,39,0.002,TRUE
Chironomidae,29,0.001,TRUE
Chironomidae,52,0.002,TRUE
Chironomidae,18,0.001,TRUE
Chironomidae,21,0.001,TRUE
Chironomidae,42,0.005,TRUE
Chironomidae,7,0.001,TRUE
Chironomidae,19,0.002,TRUE
Chironomidae,23,0.001,TRUE
Chironomidae,50,0.003,TRUE
Chironomidae,38,0.002,TRUE
Chironomidae,40,0.004,TRUE
Chironomidae,28,0.001,TRUE
Chironomidae,27,0.002,TRUE
Chironomidae,44,0.003,TRUE
Chironomidae,18,0.001,TRUE
Spisula,12,0.022,TRUE
Spisula,8,0.014,TRUE
Spisula,1,0.001,FALSE
Spisula,4,0.009,TRUE
Spisula,2,0.004,TRUE
Spisula,2,0.01,TRUE
Spisula,12,0.01,FALSE
Spisula,4,0.007,TRUE
Spisula,11,0.042,TRUE
Spisula,23,0.06,FALSE
Spisula,4,0.008,TRUE
Spisula,12,0.036,TRUE
Spisula,13,0.018,TRUE
Spisula,1,0.017,TRUE
Spisula,2,0.02,TRUE
Spisula,1,0.018,TRUE
Spisula,1,0.016,TRUE
Spisula,1,0.021,TRUE
Spisula,1,0.018,TRUE
Spisula,1,0.021,TRUE
Spisula,2,0.028,TRUE
Spisula,1,0.019,TRUE
Spisula,1,0.002,TRUE
Salinator (shell removed),16,0.133,FALSE
Salinator (shell removed),8,0.053,TRUE
Salinator (shell removed),12,0.204,FALSE
Salinator (shell removed),7,0.04,TRUE
Salinator (shell removed),11,0.138,TRUE
Salinator (shell removed),2,0.029,TRUE
Salinator (shell removed),2,0.031,TRUE
Salinator (shell removed),2,0.018,TRUE
Salinator (shell removed),3,0.021,TRUE
Salinator (shell removed),2,0.036,TRUE
Salinator (shell removed),2,0.026,TRUE
Salinator (shell removed),4,0.031,TRUE
Salinator (shell removed),3,0.028,TRUE
Salinator (shell removed),3,0.042,TRUE
Salinator (shell removed),2,0.013,FALSE
