taxa_clean,wm_g,dm_g,keep_data
Amphipoda,0.0325,0.0055,TRUE
Amphipoda,0.0211,0.0037,TRUE
Amphipoda,0.0181,0.0029,TRUE
Amphipoda,0.0286,0.0056,TRUE
Amphipoda,0.0563,0.0091,TRUE
Amphipoda,0.0503,0.0082,TRUE
Amphipoda,0.0387,0.0033,TRUE
Amphipoda,0.0113,0.0026,TRUE
Amphipoda,0.0113,0.0026,TRUE
Amphipoda,0.0476,0.0078,TRUE
Amphipoda,0.0228,0.0052,TRUE
Amphipoda,0.0333,0.0045,TRUE
Amphipoda,0.0188,0.0042,TRUE
Amphipoda,0.009,0.0018,TRUE
Amphipoda,0.0111,0.0017,TRUE
Amphipoda,0.0472,0.0056,TRUE
Amphipoda,0.0656,0.0078,TRUE
Amphipoda,0.0057,0.0045,FALSE
Amphipoda,0.0237,0.0044,TRUE
Amphipoda,0.0219,0.0033,TRUE
Amphipoda,0.0205,0.0032,TRUE
Amphipoda,0.0127,0.0017,TRUE
Amphipoda,0.0106,0.0029,TRUE
Amphipoda,0.0237,0.0166,TRUE
Amphipoda,0.0118,0.001,FALSE
Amphipoda,0.0085,0.002,TRUE
Amphipoda,0.0063,0.0021,TRUE
Amphipoda,0.0283,0.016,TRUE
Amphipoda,0.0041,0.0017,FALSE
Amphipoda,0.0307,0.0046,TRUE
Amphipoda,0.024,0.0027,TRUE
Amphipoda,0.0123,0.0019,TRUE
Amphipoda,0.0403,0.0048,TRUE
Amphipoda,0.0259,0.0166,TRUE
Amphipoda,0.0271,0.0042,TRUE
Amphipoda,0.0112,0.0019,TRUE
Amphipoda,0.0253,0.0025,TRUE
Amphipoda,0.005,0.0015,FALSE
Amphipoda,0.0269,0.0034,TRUE
Amphipoda,0.0125,0.0015,TRUE
Amphipoda,0.0211,0.0035,TRUE
Amphipoda,0.0372,0.0071,TRUE
Amphipoda,0.5738,0.0934,FALSE
Amphipoda,0.3734,0.0508,TRUE
Amphipoda,0.152,0.0185,TRUE
Amphipoda,0.473,0.0644,TRUE
Amphipoda,0.017,0.0031,TRUE
Amphipoda,0.0162,0.0028,TRUE
Amphipoda,0.4391,0.0626,TRUE
Amphipoda,0.2354,0.0346,TRUE
Amphipoda,0.2571,0.0377,TRUE
Amphipoda,0.3068,0.0372,TRUE
Amphipoda,0.0668,0.0083,TRUE
Amphipoda,0.0738,0.0079,TRUE
Amphipoda,0.0613,0.012,TRUE
Amphipoda,0.0176,0.0035,TRUE
Amphipoda,0.1889,0.0277,TRUE
Amphipoda,0.0863,0.0108,TRUE
Amphipoda,0.0934,0.0104,TRUE
Amphipoda,0.0128,0.0025,TRUE
Amphipoda,0.0225,0.0019,TRUE
Amphipoda,0.0169,0.0041,TRUE
Amphipoda,0.1357,0.0175,TRUE
Amphipoda,0.1025,0.0152,TRUE
Amphipoda,0.1206,0.0168,TRUE
Amphipoda,0.0407,0.0056,TRUE
Amphipoda,0.0595,0.0095,TRUE
Amphipoda,0.2034,0.0281,TRUE
Amphipoda,0.1039,0.0137,TRUE
Amphipoda,0.1147,0.0162,TRUE
Amphipoda,0.0039,0.0013,FALSE
Amphipoda,0.0231,0.0026,TRUE
Amphipoda,0.1076,0.0136,TRUE
Amphipoda,0.0243,0.003,TRUE
Amphipoda,0.0026,0.0011,FALSE
Amphipoda,0.0485,0.0039,TRUE
Amphipoda,0.0023,0.0019,FALSE
Amphipoda,0.0418,0.0032,TRUE
Amphipoda,0.0642,0.0086,TRUE
Amphipoda,0.0392,0.0052,TRUE
Amphipoda,0.0846,0.0157,TRUE
Amphipoda,0.1008,0.0152,TRUE
Amphipoda,0.1105,0.0181,TRUE
Amphipoda,0.076,0.0095,TRUE
Amphipoda,0.0179,0.0031,TRUE
Amphipoda,0.2151,0.0268,TRUE
Amphipoda,1.7874,0.2455,FALSE
Amphipoda,0.0216,0.0031,TRUE
Amphipoda,0.0144,0.0019,TRUE
Amphipoda,0.0564,0.0073,TRUE
Amphipoda,0.1125,0.0107,TRUE
Amphipoda,0.0203,0.0027,TRUE
Amphipoda,0.018,0.0035,TRUE
Amphipoda,0.0326,0.0042,TRUE
Amphipoda,0.0092,0.0013,FALSE
Amphipoda,0.1656,0.0182,TRUE
Amphipoda,0.0115,0.002,TRUE
Amphipoda,0.182,0.0276,TRUE
Amphipoda,0.0234,0.0035,TRUE
Amphipoda,0.0173,0.0018,TRUE
Amphipoda,0.0209,0.0028,TRUE
Arthritica,1.1183,0.5609,TRUE
Arthritica,1.3663,0.7619,TRUE
Arthritica,1.0121,0.57,TRUE
Arthritica,0.8531,0.4329,TRUE
Arthritica,1.4014,0.7654,TRUE
Arthritica,1.7298,0.9357,FALSE
Arthritica,2.7704,1.6711,FALSE
Arthritica,2.1586,1.2384,FALSE
Arthritica,1.5405,0.8667,TRUE
Arthritica,2.0235,1.0755,FALSE
Arthritica,2.9812,1.5798,FALSE
Arthritica,0.6557,0.3721,TRUE
Arthritica,1.0131,0.5284,TRUE
Arthritica,2.0061,1.0942,FALSE
Arthritica,1.3967,0.7043,FALSE
Arthritica,0.7174,0.3631,TRUE
Arthritica,1.0001,0.5498,TRUE
Arthritica,1.7758,0.8967,FALSE
Arthritica,2.9989,1.6548,FALSE
Arthritica,2.4076,1.3418,FALSE
Arthritica,3.1286,1.5986,FALSE
Arthritica,1.8348,1.0104,FALSE
Arthritica,2.4192,1.4325,FALSE
Arthritica,2.3236,1.3166,FALSE
Arthritica,1.822,1.0731,FALSE
Arthritica,2.0047,1.0604,FALSE
Arthritica,2.9643,1.4996,FALSE
Arthritica,1.4427,0.7836,TRUE
Arthritica,1.9264,0.9535,FALSE
Arthritica,1.3098,0.7689,TRUE
Arthritica,0.9351,0.5773,TRUE
Arthritica,1.4451,0.8417,TRUE
Arthritica,1.3007,0.7168,TRUE
Arthritica,0.6657,0.3415,TRUE
Arthritica,0.73,0.4249,TRUE
Arthritica,0.8108,0.437,TRUE
Arthritica,1.4381,0.7153,FALSE
Arthritica,1.6282,0.8054,FALSE
Arthritica,1.2347,0.7834,FALSE
Arthritica,1.1801,0.7589,FALSE
Arthritica,1.5644,0.9426,FALSE
Arthritica,1.4066,0.9109,FALSE
Arthritica,0.0064,0.0033,TRUE
Arthritica,0.0247,0.0157,TRUE
Arthritica,0.0101,0.0055,TRUE
Arthritica,0.0178,0.0118,TRUE
Arthritica,0.005,0.0029,TRUE
Arthritica,0.0399,0.0219,TRUE
Arthritica,0.0855,0.0488,TRUE
Arthritica,0.1839,0.099,TRUE
Arthritica,0.1654,0.1036,TRUE
Arthritica,0.1515,0.0917,TRUE
Arthritica,0.5865,0.3043,TRUE
Arthritica,0.8724,0.4391,TRUE
Arthritica,1.2001,0.5652,FALSE
Arthritica,1.2663,0.5637,FALSE
Arthritica,1.3622,0.5675,FALSE
Arthritica,0.0192,0.0089,TRUE
Arthritica,0.0035,0.0015,FALSE
Arthritica,0.0052,0.0021,TRUE
Arthritica,0.1415,0.0783,TRUE
Arthritica,0.3303,0.1583,TRUE
Arthritica,0.3914,0.1927,TRUE
Arthritica,0.5189,0.2753,TRUE
Arthritica,0.226,0.1169,TRUE
Arthritica,0.5137,0.3197,TRUE
Arthritica,0.209,0.1619,TRUE
Arthritica,0.2412,0.1641,TRUE
Arthritica,0.265,0.1559,TRUE
Arthritica,0.5421,0.3115,TRUE
Arthritica,0.1468,0.0773,TRUE
