taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,sd_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Dolichopodidae,18,0.0706019999934564,0.149594052827771,0.6481012726871299,0.42814557430365346,-0.25952679911731236,1.555729344491572,-5.764812965592978,0.29716681961813657,-6.394778481254193,-5.134847449931764,0.0031359818454380775,0.0016702558156611073,0.005887949643824258,1.4479050797117203,0.0038143518518518518,0.0020926192007488737,0.00553608450295483,0.0034622424228248566,0.0026530907281609247,3.6666666666666667e-4,0.0029499999999999995,0.012633333333333335,1,4,-3.7712317948326115,107.81453709761126,132.42627993923372,3.0905905905905837,115.3205715226437,141.78192995637343
Dolichopodidae_outliers_removed,15,0.08804583315616865,0.14912061285713826,0.6969409083100235,0.4544747237589349,-0.2848920400533649,1.6787738566734118,-5.773065136531337,0.24433980150443463,-6.300929185227858,-5.2452010878348165,0.0031102096716350927,0.0018345993022299482,0.00527276129985141,1.2634881002083636,0.003598888888888889,0.002054763577036357,0.0051430142007414205,0.0027883293247535205,0.0028130810323903294,8.333333333333334e-4,0.0029999999999999996,0.0118,1,3,1.7667849007929635,58.76142048914446,85.99705658000249,8.343513670738803,62.13176783915189,87.78133108406197
Hiatula alba,38,0.2154154547347059,0.0019574859477941315,1.398178560641253,0.41855787745458134,0.5493038403125058,2.24705328097,-1.8820627523599762,0.32040197508598806,-2.5318680759341565,-1.232257428785796,0.15227567456445762,0.07951035009400188,0.29163349220128587,2.7857717994981086,0.4756404072681704,0.29273532002987224,0.6585454945064686,0.5564637622333459,0.18000878912235035,0.0074,0.1998,2.1026,1,7,50.38371972960365,758.170369406544,790.836130619492,11.027522791806728,795.746107620816,831.0470674337085
Hiatula alba_outliers_removed,29,0.16889427791409584,0.015407363072596863,2.247408575237957,0.8688945864900398,0.46458414707317486,4.0302330034027385,-1.928044578431796,0.33551721501528853,-2.6164690390046426,-1.2396201178589497,0.14543230208215002,0.07306038127266762,0.28949417071857386,2.767772710315741,0.47439827586206895,0.27162066966978277,0.6771758820543552,0.5330926680838691,0.17918456449300293,0.0088,0.1647,1.6231,1,4,53.01361563744844,674.0379823787,706.7363830522524,-3.6997865436819257,757.8899807087363,795.1569942744527
Hydrobiidae,171,0.7193232043807104,1.0336170432440797e-48,0.9520812060577075,0.045560964705773976,0.8621392852481102,1.0420231268673048,-5.738425034410254,0.15683406284877877,-6.048031228047426,-5.428818840773081,0.0032198354139565664,0.0023625086716878097,0.00438827599543255,1.4233611851032721,0.00396607190737132,0.003493460241750534,0.004438683572992107,0.003130773638362585,0,4.6708860759493676e-4,0.0032214285714285717,0.01825,1,1038,22.836889101936034,111.66608949047504,144.18456276499703,35.19672613624287,113.02426757379884,145.04943222504275
Hydrobiidae_outliers_removed,152,0.6627377740724159,1.912019117056095e-37,0.9121833736002914,0.05286595464317276,0.8077252519979078,1.0166414952026752,-5.581112129290503,0.17472314048194817,-5.926348513999782,-5.235875744581223,0.0037683722703278307,0.0026682071433673953,0.005322161588194351,1.3820791210371326,0.004027291183159767,0.003533429373239509,0.004521152993080026,0.0030816583812296634,0,5e-4,0.0033357142857142856,0.01825,2,218,9.816415311397638,99.76838398495823,132.32785110836596,24.010565463628055,102.88368884082837,134.35929081809422
Mysidacea,81,0.3176646567114605,2.580392006382284e-8,0.8666691816880859,0.14014235470493008,0.5877228023035126,1.1456155610726593,-5.303331024650365,0.1592470361728361,-5.620304321279112,-4.986357728021619,0.004974994446516148,0.003623538221371748,0.006830497770628396,1.4774252092032074,0.006641521321643705,0.00548282550342386,0.0078002171398635495,0.005240165842254965,0.004470161449721302,2.75e-4,0.0056,0.0212,1,25,-1.4038049594193078,164.07627510670156,193.58540128428334,10.481387156432632,169.16890628453308,198.60568376987425
Mysidacea_outliers_removed,71,0.1384819969378419,8.190305462798289e-4,0.626244731277067,0.17891297672925344,0.26932310864785497,0.9831663539062792,-5.1803988503336935,0.16101082006952014,-5.5016066476140395,-4.8591910530533475,0.0056257621297642404,0.004080210708685033,0.007756756158039044,1.4210340148994687,0.006398114241001565,0.00524053734269137,0.007555691139311761,0.00489056098162381,0.004421976263222456,4.25e-4,0.0056,0.0212,1,9,-1.508127809252277,128.4679278849591,158.523854103983,14.166585986458099,143.81125922352695,174.1732154381173
Nephtys,48,0.4031190408258327,7.540863017649799e-7,0.7145883306524918,0.1248817220321006,0.4632144619885971,0.9659621993163865,-2.363220014214587,0.1777244196042214,-2.720960716256434,-2.00547931217274,0.0941166777081348,0.0658114978696035,0.134595766842562,1.3810691954869352,0.10656313424422799,0.07471290863706877,0.13841335985138722,0.10968851819135057,0.07096349375398604,0.0113,0.08083125,0.5936,1,27,8.924301681970844,109.7720988155482,134.2958233481398,54.725631478454375,125.37144974684105,149.66371178168956
Nephtys_outliers_removed,40,0.3266499809650031,6.989298917660143e-5,0.6147757476666232,0.13774602379866208,0.33592350098653256,0.8936279943467139,-2.2337457656686945,0.1652489587699075,-2.568274793395025,-1.8992167379423641,0.10712640724561084,0.07666769901573914,0.14968581653919907,1.2512505822895037,0.1052677509920635,0.07756719628736361,0.1329683056967634,0.08661416773982707,0.07757022272977197,0.015014285714285714,0.08634285714285714,0.373,1,12,3.6054340168895824,68.9253462106379,95.254625966732,41.13499922894871,86.1332116921936,111.36303941286795
